subject,blockcode,trialcode,trialnum,response,latency,stimulusitem3,stimulusitem4,stimulusitem5,stimulusitem6,stimulusitem8,values.gridface1_zscore,values.gridface2_zscore,values.gridface3_zscore,values.gridface4_zscore,values.compareface_zscore,values.trial_retry,values.nTrials,avg_grid,avg_compare,correct_resp,correct_num,easiness
474143404,gridcompare_block,gridcompare_trial,41,50,1545,CFD-WM-251-N-crop.jpg,CFD-WM-232-N-crop.jpg,CFD-WM-244-N-crop.jpg,CFD-WM-020-N-crop.jpg,CFD-WM-228-N-crop.jpg,0.562313066,-1.27590854,-0.947654682,-0.417972321,-0.619400824,0,100,-0.51980562,-0.619400824,38,0,0.099595205
474143404,gridcompare_block,gridcompare_trial,42,50,1165,CFD-WM-228-N-crop.jpg,CFD-WM-040-N-crop.jpg,CFD-WM-243-N-crop.jpg,CFD-WM-236-N-crop.jpg,CFD-WM-219-N-crop.jpg,-0.619400824,0.619492771,-1.919286104,-0.619400824,0.119170357,0,100,-0.634648745,0.119170357,50,1,0.753819102
474143404,gridcompare_block,gridcompare_trial,43,50,1032,CFD-WM-235-N-crop.jpg,CFD-WM-240-N-crop.jpg,CFD-WM-229-N-crop.jpg,CFD-WM-234-N-crop.jpg,CFD-WM-214-N-crop.jpg,-1.885522851,0.857741538,-0.742496022,-1.026888371,1.507684178,0,100,-0.699291427,1.507684178,50,1,2.206975604
474143404,gridcompare_block,gridcompare_trial,44,50,1304,CFD-WM-006-N-crop.jpg,CFD-WM-245-N-crop.jpg,CFD-WM-256-N-crop.jpg,CFD-WM-015-N-crop.jpg,CFD-WM-036-N-crop.jpg,0.65162865,-1.12876026,-0.619400824,0.30810717,-1.134683045,0,100,-0.197106316,-1.134683045,38,0,0.937576729
474143404,gridcompare_block,gridcompare_trial,45,50,901,CFD-WM-019-N-crop.jpg,CFD-WM-239-N-crop.jpg,CFD-WM-016-N-crop.jpg,CFD-WM-221-N-crop.jpg,CFD-WM-202-N-crop.jpg,-1.518530958,0.224680527,-0.378935788,1.021868469,1.653125887,0,100,-0.162729438,1.653125887,50,1,1.815855324
474143404,gridcompare_block,gridcompare_trial,46,38,819,CFD-WM-210-N-crop.jpg,CFD-WM-002-N-crop.jpg,CFD-WM-001-N-crop.jpg,CFD-WM-023-N-crop.jpg,CFD-WM-038-N-crop.jpg,0.330190693,-0.693257943,0.015929223,1.776852341,-0.718983455,0,100,0.357428579,-0.718983455,38,1,1.076412034
474143404,gridcompare_block,gridcompare_trial,47,38,979,CFD-WM-221-N-crop.jpg,CFD-WM-017-N-crop.jpg,CFD-WM-253-N-crop.jpg,CFD-WM-004-N-crop.jpg,CFD-WM-217-N-crop.jpg,1.021868469,-1.191197868,-0.164895482,1.036297207,-0.278521819,0,100,0.175518082,-0.278521819,38,1,0.4540399
474143404,gridcompare_block,gridcompare_trial,48,50,1526,CFD-WM-244-N-crop.jpg,CFD-WM-232-N-crop.jpg,CFD-WM-013-N-crop.jpg,CFD-WM-014-N-crop.jpg,CFD-WM-237-N-crop.jpg,-0.947654682,-1.27590854,-0.00106216,1.772163002,-0.619400824,0,100,-0.113115595,-0.619400824,38,0,0.506285229
474143404,gridcompare_block,gridcompare_trial,49,50,915,CFD-WM-254-N-crop.jpg,CFD-WM-004-N-crop.jpg,CFD-WM-236-N-crop.jpg,CFD-WM-014-N-crop.jpg,CFD-WM-230-N-crop.jpg,0.06235719,1.036297207,-0.619400824,1.772163002,0.541211032,0,100,0.562854144,0.541211032,38,0,0.021643111
474143404,gridcompare_block,gridcompare_trial,50,50,840,CFD-WM-250-N-crop.jpg,CFD-WM-034-N-crop.jpg,CFD-WM-018-N-crop.jpg,CFD-WM-037-N-crop.jpg,CFD-WM-219-N-crop.jpg,0.444141677,-0.078982888,0.52948768,-0.250115234,0.119170357,0,100,0.161132809,0.119170357,38,0,0.041962452
474143404,gridcompare_block,gridcompare_trial,51,38,736,CFD-WM-243-N-crop.jpg,CFD-WM-018-N-crop.jpg,CFD-WM-241-N-crop.jpg,CFD-WM-221-N-crop.jpg,CFD-WM-234-N-crop.jpg,-1.919286104,0.52948768,-0.291146966,1.021868469,-1.026888371,0,100,-0.16476923,-1.026888371,38,1,0.862119141
474143404,gridcompare_block,gridcompare_trial,52,38,836,CFD-WM-018-N-crop.jpg,CFD-WM-256-N-crop.jpg,CFD-WM-236-N-crop.jpg,CFD-WM-224-N-crop.jpg,CFD-WM-233-N-crop.jpg,0.52948768,-0.619400824,-0.619400824,-1.146951669,-0.619400824,0,100,-0.46406641,-0.619400824,38,1,0.155334415
474143404,gridcompare_block,gridcompare_trial,53,50,916,CFD-WM-240-N-crop.jpg,CFD-WM-253-N-crop.jpg,CFD-WM-038-N-crop.jpg,CFD-WM-033-N-crop.jpg,CFD-WM-244-N-crop.jpg,0.857741538,-0.164895482,-0.718983455,1.101226542,-0.947654682,0,100,0.268772286,-0.947654682,38,0,1.216426968
474143404,gridcompare_block,gridcompare_trial,54,50,1329,CFD-WM-211-N-crop.jpg,CFD-WM-218-N-crop.jpg,CFD-WM-239-N-crop.jpg,CFD-WM-223-N-crop.jpg,CFD-WM-201-N-crop.jpg,-0.110041389,-0.302870319,0.224680527,-0.619400824,-0.234059337,0,100,-0.201908001,-0.234059337,38,0,0.032151336
474143404,gridcompare_block,gridcompare_trial,55,50,1469,CFD-WM-223-N-crop.jpg,CFD-WM-209-N-crop.jpg,CFD-WM-003-N-crop.jpg,CFD-WM-211-N-crop.jpg,CFD-WM-035-N-crop.jpg,-0.619400824,0.963251708,1.089101185,-0.110041389,-1.333623506,0,100,0.33072767,-1.333623506,38,0,1.664351176
474143404,gridcompare_block,gridcompare_trial,56,50,1476,CFD-WM-015-N-crop.jpg,CFD-WM-207-N-crop.jpg,CFD-WM-245-N-crop.jpg,CFD-WM-244-N-crop.jpg,CFD-WM-238-N-crop.jpg,0.30810717,0.36536075,-1.12876026,-0.947654682,-0.619400824,0,100,-0.350736756,-0.619400824,38,0,0.268664069
474143404,gridcompare_block,gridcompare_trial,57,50,1179,CFD-WM-211-N-crop.jpg,CFD-WM-015-N-crop.jpg,CFD-WM-216-N-crop.jpg,CFD-WM-026-N-crop.jpg,CFD-WM-208-N-crop.jpg,-0.110041389,0.30810717,-0.051269147,-0.104118604,1.112421257,0,100,0.010669507,1.112421257,50,1,1.10175175
474143404,gridcompare_block,gridcompare_trial,58,38,1230,CFD-WM-016-N-crop.jpg,CFD-WM-024-N-crop.jpg,CFD-WM-003-N-crop.jpg,CFD-WM-039-N-crop.jpg,CFD-WM-258-N-crop.jpg,-0.378935788,1.686382376,1.089101185,-0.549888242,0.36536075,0,100,0.461664883,0.36536075,38,1,0.096304133
474143404,gridcompare_block,gridcompare_trial,59,50,1414,CFD-WM-241-N-crop.jpg,CFD-WM-237-N-crop.jpg,CFD-WM-229-N-crop.jpg,CFD-WM-003-N-crop.jpg,CFD-WM-252-N-crop.jpg,-0.291146966,-0.619400824,-0.742496022,1.089101185,2.006630043,0,100,-0.140985657,2.006630043,50,1,2.1476157
474143404,gridcompare_block,gridcompare_trial,60,38,1071,CFD-WM-221-N-crop.jpg,CFD-WM-214-N-crop.jpg,CFD-WM-028-N-crop.jpg,CFD-WM-255-N-crop.jpg,CFD-WM-213-N-crop.jpg,1.021868469,1.507684178,1.005455775,-0.93593133,1.034998622,0,100,0.649769273,1.034998622,50,0,0.385229349
474143404,gridcompare_block,gridcompare_trial,61,50,934,CFD-WM-020-N-crop.jpg,CFD-WM-025-N-crop.jpg,CFD-WM-227-N-crop.jpg,CFD-WM-229-N-crop.jpg,CFD-WM-247-N-crop.jpg,-0.417972321,0.824170122,-0.3625065,-0.742496022,0.06235719,0,100,-0.17470118,0.06235719,50,1,0.23705837
474143404,gridcompare_block,gridcompare_trial,62,38,1506,CFD-WM-041-N-crop.jpg,CFD-WM-214-N-crop.jpg,CFD-WM-225-N-crop.jpg,CFD-WM-208-N-crop.jpg,CFD-WM-032-N-crop.jpg,-0.688913407,1.507684178,1.459540279,1.112421257,1.044506665,0,100,0.847683077,1.044506665,50,0,0.196823588
474143404,gridcompare_block,gridcompare_trial,63,38,1039,CFD-WM-249-N-crop.jpg,CFD-WM-039-N-crop.jpg,CFD-WM-224-N-crop.jpg,CFD-WM-237-N-crop.jpg,CFD-WM-015-N-crop.jpg,-2.664674864,-0.549888242,-1.146951669,-0.619400824,0.30810717,0,100,-1.2452289,0.30810717,50,0,1.55333607
474143404,gridcompare_block,gridcompare_trial,64,50,1023,CFD-WM-258-N-crop.jpg,CFD-WM-204-N-crop.jpg,CFD-WM-221-N-crop.jpg,CFD-WM-211-N-crop.jpg,CFD-WM-257-N-crop.jpg,0.36536075,0.168408437,1.021868469,-0.110041389,2.10763123,0,100,0.361399066,2.10763123,50,1,1.746232163
474143404,gridcompare_block,gridcompare_trial,65,50,1464,CFD-WM-216-N-crop.jpg,CFD-WM-207-N-crop.jpg,CFD-WM-238-N-crop.jpg,CFD-WM-009-N-crop.jpg,CFD-WM-029-N-crop.jpg,-0.051269147,0.36536075,-0.619400824,0.889853328,1.451994212,0,100,0.146136027,1.451994212,50,1,1.305858186
474143404,gridcompare_block,gridcompare_trial,66,50,1167,CFD-WM-232-N-crop.jpg,CFD-WM-206-N-crop.jpg,CFD-WM-251-N-crop.jpg,CFD-WM-218-N-crop.jpg,CFD-WM-217-N-crop.jpg,-1.27590854,0.142995233,0.562313066,-0.302870319,-0.278521819,0,100,-0.21836764,-0.278521819,38,0,0.060154179
474143404,gridcompare_block,gridcompare_trial,67,50,1090,CFD-WM-233-N-crop.jpg,CFD-WM-251-N-crop.jpg,CFD-WM-033-N-crop.jpg,CFD-WM-228-N-crop.jpg,CFD-WM-020-N-crop.jpg,-0.619400824,0.562313066,1.101226542,-0.619400824,-0.417972321,0,100,0.10618449,-0.417972321,38,0,0.524156811
474143404,gridcompare_block,gridcompare_trial,68,38,912,CFD-WM-232-N-crop.jpg,CFD-WM-020-N-crop.jpg,CFD-WM-218-N-crop.jpg,CFD-WM-253-N-crop.jpg,CFD-WM-227-N-crop.jpg,-1.27590854,-0.417972321,-0.302870319,-0.164895482,-0.3625065,0,100,-0.540411665,-0.3625065,50,0,0.177905166
474143404,gridcompare_block,gridcompare_trial,69,38,1621,CFD-WM-217-N-crop.jpg,CFD-WM-220-N-crop.jpg,CFD-WM-025-N-crop.jpg,CFD-WM-003-N-crop.jpg,CFD-WM-037-N-crop.jpg,-0.278521819,-2.151252165,0.824170122,1.089101185,-0.250115234,0,100,-0.129125669,-0.250115234,38,1,0.120989565
